id,language,BV_n_tokens,BV_char_per_tok,BV_verbal_head_per_sent,BV_verbal_root_perc,BV_avg_token_per_clause,BV_avg_links_len,BV_avg_max_depth,BV_avg_subordinate_chain_len,BV_subordinate_pre,BV_subordinate_post,BV_avg_verb_edges
afr,Afrikaans,0.691503507175891,0.740635592256664,0.597338945774026,0.793470268321406,0.806503412458279,0.943520755318344,0.790859747343211,0.6690569112696,0.195677425892225,0.732515892815951,0.884003539256109
ara,Arabic,1,0.570003557594774,0.737312182069919,0.256703115997844,0.900595210951716,0.789406006947651,1,0.875335630557653,0.006573444025359,1,0.658525905491703
bul,Bulgarian,0.380493641898138,0.707117684630316,0.412893052333729,0.839651898913981,0.557285065884542,0.662737123512154,0.484892951368625,0.418560255842031,0.140466212068318,0.434277262429938,0.634059236864331
cat,Catalan,0.865684015474249,0.635510399326156,0.640437178774907,0.856551155458832,1,0.808198011986142,0.74080149382829,0.689353977106057,0.147016173821483,0.754531467171985,0.852200052292363
ces_cac,Czech,0.543029932954293,0.762920518138989,0.439612298421076,0.71773218626294,0.718048277510167,0.722796400378961,0.632391171017717,0.459809310798877,0.092272362475093,0.54741828129075,0.614571542940732
ces_fictree,Czech,0.355325858773579,0.646094326659714,0.524221819948612,0.826602510821862,0.407425148238388,0.658455321096784,0.419907634588029,0.477271226230237,0.130639721261018,0.511790627474902,0.61904231057227
ces_pdt,Czech,0.465079110692544,0.748202080715465,0.412490069007813,0.700577810576206,0.610614094243128,0.703958048528822,0.553796474163494,0.453563615871908,0.118976118224322,0.490403332246047,0.588129032725547
chu,Old Church Slavonic,0.246533035487203,0.608037781057202,0.624061236600668,1,0.274886583818746,0.612376297424845,0.373173582785702,0.645819365657152,0.317247754543144,0.524734238736743,0.60885968589159
cmn,Chinese,0.669590456182207,0.230305493429159,1,0.848424832275585,0.526909370406594,1,0.598807294317564,1,0.784934753330303,0.354067180206043,0.571625366740538
dan,Danish,0.495995766419992,0.680708178793028,0.520063778901566,0.74140818772094,0.582826490999591,0.744405281203324,0.544002621722262,0.5689052683956,0.165465033199934,0.606247143354829,0.714586326132241
deu,German,0.509709312346549,0.798791735854398,0.341965326274092,0.762038766541714,0.787020073686286,0.894922609284946,0.51433451287684,0.298809091415301,0.08765361556107,0.352874885197345,0.76416962423801
ell,Greek,0.682987231578774,0.754463317678989,0.672251677458878,0.843947778408668,0.712261167992191,0.749213457948676,0.674878312117398,0.73384165123436,0.142769017276299,0.769904606294931,0.64226194765953
ekk_edt,Estonian,0.383607081719841,0.869920079466039,0.415645387476689,0.717363795431911,0.517234758378088,0.686446400514169,0.466903796994243,0.484813855467106,0.092344833721494,0.557168514730173,0.638182084771276
eng_ewt,English,0.41608396785765,0.69669239581814,0.457821044908979,0.584662449460605,0.447871258500683,0.660574095127775,0.458952385581291,0.554750046566167,0.093448090737998,0.597514891068649,0.540290752040767
eng_gum,English,0.494658907214667,0.650048544293009,0.522192943978892,0.721578115710965,0.566790724563543,0.716060208578199,0.530636363151235,0.612241222622381,0.144171346868438,0.632148329146365,0.593014420473896
eng_lines,English,0.492474814038524,0.605555136022556,0.578307266916123,0.810152721699376,0.550096591298031,0.733186560797534,0.528207383085558,0.62917647929148,0.141388915533061,0.668904704255305,0.701474288298105
eng_partut,English,0.644719613535872,0.677649766862663,0.605377720871779,0.789001970905691,0.740183834456591,0.799224413897422,0.655771381366483,0.700382422205328,0.183625625398113,0.728104459539085,0.721249742333248
eus,Basque,0.366507869388302,0.876841400989899,0.569134365853016,0.892653132155168,0.459801983322677,0.679849477908619,0.483965110054547,0.59815119947319,0.3799597681595,0.416905808749413,0.700309828927941
fas,Persian,0.692063031535049,0.552215311399867,0.546233210503279,0.680406804397702,0.794047211789175,0.973072856888031,0.723877599778117,0.710100162511422,0.197558095630483,0.69255178534666,0.694006728914483
fin_ftb,Finnish,0.23136918272841,0.924081537581465,0.483285226501254,0.782721664153643,0.288897690687242,0.560687925814108,0.343898584697299,0.521845953492057,0.319417567204943,0.396113752925335,0.4481418752639
fin_tdt,Finnish,0.362119948341863,1,0.491400038710556,0.717534663227647,0.440142222147887,0.649044753038475,0.477741481389629,0.532646710639653,0.11472804980978,0.617823080045816,0.560831161460901
fra_gsd,French,0.665039830565826,0.648637916463702,0.524780182748331,0.764151918077012,0.856364800137778,0.749876721285961,0.64184410336128,0.584215664441386,0.138400253668988,0.657222532091834,0.709506139752607
fra_sequoia,French,0.618237682786486,0.719703122581453,0.509651000549163,0.659348488337229,0.655865094132562,0.708916263953923,0.598717948218714,0.573708753201113,0.117655667515156,0.637773930003413,0.571692039053821
got,Gothic,0.278066708223654,0.693902788508457,0.631680100972787,0.96198758744196,0.29682160917545,0.63356651548421,0.421586287170369,0.66837945397561,0.305497609688809,0.541507852394146,0.600310426687756
grc_perseus,Ancient Greek,0.3958037271977,0.69901390348864,0.725028813590049,0.988588584309681,0.405661496379038,0.840188080752896,0.455185999558351,0.684182664703447,0.342161811403977,0.579297689736003,0.688009628409615
grc_proiel,Ancient Greek,0.340052781145919,0.687299404926965,0.621551332466159,0.880318477526165,0.358409221665709,0.730875567574728,0.44955480687478,0.634701312079651,0.323197855501793,0.507399238581399,0.603061395350836
heb,Hebrew,0.704780169912273,0.460971937359669,0.614597494878688,0.833180302520695,0.793548516892572,0.757898107634152,0.703511282511509,0.632343645087945,0.167809230590293,0.703763858348015,0.636156860224584
hin,Hindi,0.573398745484892,0.545070481392125,0.542589833468205,0.906393902052673,0.748851873257585,0.918708877079551,0.594791403214468,0.635503500881606,0.421687784082303,0.42032374927195,0.911912649214993
hrv,Croatian,0.60162478463486,0.756866901487471,0.519195270624101,0.727065685935751,0.760486037741921,0.768267546654539,0.649265258695159,0.645651927860018,0.108844995147442,0.721050344861405,0.72931516808973
