glottocode,isocodes,name,level,macroarea,latitude,longitude,track,corpus,family_id
stan1293,eng,English,language,Eurasia,53,-1,track b,UD,indo1319
stan1295,deu,German,language,Eurasia,48.649,12.4676,track a,PBC,indo1319
stan1295,deu,German,language,Eurasia,48.649,12.4676,track b,UD,indo1319
stan1318,arb,Standard Arabic,language,Eurasia,27.9625,43.8525,track b,UD,afro1255
swah1253,swh,Swahili,language,Africa,-8.25605,37.624,track a,PBC,atla1278
swed1254,swe,Swedish,language,Eurasia,59.800634,17.389526,track b,UD,indo1319
taga1270,tgl,Tagalog,language,Papunesia,14.06,121.747,track a,PBC,aust1307
thai1261,tha,Thai,language,Eurasia,14.192,100.671,track a,PBC,taik1256
uigh1240,uig,Uighur,language,Eurasia,43.88,87.38,track b,UD,turk1311
ukra1253,ukr,Ukrainian,language,Eurasia,49.796,29.945,track b,UD,indo1319
urdu1245,urd,Urdu,language,Eurasia,25,67,track b,UD,indo1319
viet1252,vie,Vietnamese,language,Eurasia,20.681188,105.774071,track b,UD,aust1305
viet1252,vie,Vietnamese,language,Eurasia,20.681188,105.774071,track a,PBC,aust1305
west2369,pes,Western Farsi,language,Eurasia,32.9,53.3,track b,UD,indo1319
west2369,pes,Western Farsi,language,Eurasia,32.9,53.3,track a,PBC,indo1319
west2599,kew,West Kewa,language,Papunesia,-6.32097,143.73,track a,PBC,nucl1709
wich1264,mzh,Wichí Lhamtés Güisnay,language,South America,-23.1633,-62.1757,track a,PBC,mata1289
yagu1244,yad,Yagua,language,South America,-3.42913,-72.2186,track a,PBC,peba1241
yaqu1251,yaq,Yaqui,language,North America,29.9446,-110.681,track a,PBC,utoa1244
yoru1245,yor,Yoruba,language,Africa,7.15345,3.67225,track a,PBC,atla1278
